*,foliohog,factor,s_jefe,edad_jefe,tot_integ,hombres,mujeres,mayores,menores,p65mas,percep_ing,ing_cor,ingtrab,transfer,alimentos,bebidas,vestido,calzado,limpieza,salud,hospital,medicinas,transporte
1603701301,3,785,1,39,4,2,2,3,1,0,3,45576.4,38639.31,6937.09,18391.96,0,674.99,1012.48,368.69,0,0,0,2903.22
960018313,1,26,2,62,4,2,2,3,1,0,4,111544.41,98559.75,4274.99,17607.63,1079.97,855.95,1349.98,1577.06,24.45,0,24.45,4892.48
1703334916,1,176,2,41,3,2,1,2,1,0,3,66709.48,29543.47,13940.21,10465.63,0,0,2249.99,4935.45,342.38,0,0,3622.71
1300640206,1,573,1,66,4,2,2,4,0,1,3,141183.82,91642.05,37928.87,5528.5,0,0,0,2006.09,0,0,0,21257.95
2303103001,1,292,1,52,9,7,2,8,1,0,6,116265.31,113991.97,821.73,31705.59,1671.42,0,0,2293.5,0,0,0,11634.58
2062529824,1,386,2,80,1,0,1,1,0,1,1,18968.44,678.68,13789.76,3214.25,0,185.86,0,1050,0,0,0,0
917532902,1,1332,2,73,4,3,1,4,0,2,4,86376.86,48961.95,25802.01,16225.55,205.71,0,0,879.66,371.72,0,0,4982.96
2100578906,1,663,1,66,3,1,2,3,0,1,1,87874.29,0,77713,21889.02,552.85,2572.81,391.3,1389.11,1242.36,0,0,6075.42
2702092904,1,268,2,32,5,1,4,4,1,0,4,36531.39,25826.08,1995.64,54430.47,2931.38,816.82,117.39,1179.35,1398.9,1320.64,0,2464.27
2500815506,1,314,2,33,1,0,1,1,0,0,1,71547.13,61385.84,0,14039.87,385.7,2934.77,0,3309.63,0,0,0,2351.61
100391902,1,178,1,27,2,1,1,2,0,0,2,247929.22,247061.16,868.06,39329.93,642.84,17158.65,10565.2,12583.24,9968.45,0,2817.38,16839.83
2001163404,1,623,2,73,2,1,1,2,0,1,2,24472.04,15701.07,4416.14,5078.48,0,146.73,68.47,575.5,0,0,0,2016.23
500268903,1,197,1,39,6,3,3,4,2,0,3,78827.06,67312.63,1643.47,5618.49,1851.42,2064.11,811.94,2928.13,0,0,0,4085.21
301328404,1,173,1,57,2,1,1,2,0,0,2,106070.28,77038.03,0,24685.64,0,2406.51,0,1318.02,0,0,0,15686.12
2260476303,1,139,2,60,3,1,2,3,0,0,2,36087.82,30484.62,2699.98,14104.12,1697.12,2396.7,978.24,365.79,0,0,0,1234.28
900401202,1,1238,2,78,2,0,2,2,0,1,2,,0,50330.46,7232.08,0,0,0,217.73,978.25,0,0,6129.82
207836319,1,526,2,37,4,2,2,4,0,0,2,41235.26,36880.43,0,9822.73,1079.98,782.6,313.04,1913.43,958.68,0,0,7036.45
2461002621,1,225,1,52,6,3,3,6,0,0,5,45481.93,41695.05,786.88,11082.77,0,890.17,1076.07,2344.47,223.02,0,223.02,6831.38
1560041415,1,428,2,77,2,1,1,2,0,1,2,17417.79,8735.86,5778.71,5489.92,758.56,792.37,733.69,459.64,122.27,0,122.27,0
1101313401,1,1461,2,33,2,1,1,2,0,0,2,32646.13,28291.3,0,20519.72,0,586.95,352.17,3753.82,0,0,0,6329.01
201291704,1,599,1,22,2,2,0,2,0,0,2,78751.73,68466.02,1285.71,9514.25,2121.42,1956.51,0,2828.4,371.72,0,0,19714.26
860204914,1,96,1,64,3,2,1,3,0,1,3,25223.33,18195.64,5576.08,6145.67,0,3521.73,0,1794.16,0,0,0,0
2860082704,1,261,1,24,4,2,2,2,2,0,2,15826.22,15826.22,0,13242.73,3098.53,1516.29,195.65,1594.72,626.05,0,117.38,3900
1560341919,1,439,1,87,3,1,2,3,0,2,2,55290.8,17608.69,31875.66,1979.96,0,0,0,464.5,1105.42,0,0,1234.28
3160250924,1,96,1,38,1,1,0,1,0,0,1,20483.34,11665.75,29.03,10529.88,8845.66,97.82,0,955.14,58.69,0,58.69,676.03
1960145417,1,97,1,49,1,1,0,1,0,0,1,36106.65,5549.66,27653.77,0,0,0,0,0,0,0,0,0
205307702,1,555,2,37,2,1,1,2,0,0,2,73106.52,73106.52,0,16558.54,797.12,890.19,968.47,2343,381.52,0,381.52,9142.62
2604571505,1,482,1,37,11,5,6,6,5,0,4,92172.13,89433.02,2739.11,19230.19,1709.97,1103.45,586.94,2064.17,2161.93,1809.77,0,8780.9
660120217,1,19,1,37,4,1,3,3,1,0,3,41779.41,27456.71,11419.48,22988.43,2031.4,322.81,0,850.6,0,0,0,8308.71
903446905,1,1439,2,48,3,0,3,3,0,0,3,76763.47,69505.41,0,6852.78,257.14,381.52,0,2038.02,0,0,0,8091.27
1908011702,1,1126,2,73,2,1,1,2,0,2,2,44472.48,0,23472.48,8202.75,385.71,0,0,402,261.17,0,0,2940
2504224514,1,185,1,60,4,3,1,4,0,0,4,212626.24,72543.9,41826.61,20069.9,591.42,2122.82,3911.08,9914.71,56152.15,0,54586.94,64891.3
2108135618,1,628,2,37,5,2,3,3,2,0,4,36516.79,25967.2,6049.59,8472.69,694.27,0,244.56,882,1799.99,0,0,2038.52
3200107402,1,277,1,34,5,1,4,2,3,0,1,42798.91,42798.91,0,11198.42,822.85,254.33,0,795.46,0,0,0,6052.59
3201983722,1,170,2,68,3,1,2,3,0,1,1,9073.76,3934.42,3639.34,2918.51,0,0,0,249,587.93,0,0,0
1509640005,1,1901,2,68,3,1,2,3,0,1,3,58059.77,54342.38,3717.39,14264.84,1028.56,2103.24,1144.55,5474.82,0,0,0,9459.42
